sku	virtual	downloadable	rating_count	average_rating	total_sales	tax_status	tax_class	post_author	post_date	post_date_gmt	post_content	post_title	post_excerpt	post_status	comment_status	ping_status	post_password	post_name	post_modified	post_modified_gmt	post_content_filtered	post_parent	guid	menu_order	post_type	post_mime_type	comment_count
16041	0	0	0	0	14	taxable		2	2018-02-12 10:09:03	2018-02-12 09:09:03		Pierre Gaillard C“te R“tie 2018	Ce vin exprime la diversit‚ et l'‚quilibre entre puissance et ‚l‚gance des diff‚rentes parcelles de C“te R“tie. Fruit‚ fin et charnu.	publish	closed	closed		pierre-gaillard-cote-rotie-2018	2020-08-03 09:55:03	2020-08-03 07:55:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4045	0	product		0
15269	0	0	0	0	6	taxable		2	2018-02-12 10:16:27	2018-02-12 09:16:27		Pierre Gaillard C“te R“tie Rose Pourpre 2017	"La cuv‚e ""Rose Pourpre"" provient d'une parcelle de 0,8Ha sur la fameuse C“te Brune. TrŠs complexe, sur les fruits et les ‚pices, beaucoup de matiŠre et de structure, du grand art!"	publish	closed	closed		pierre-gaillard-cote-rotie-rose-pourpre-2017	2020-08-24 14:00:03	2020-08-24 12:00:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4046	0	product		0
14977	0	0	0	0	0	taxable		2	2018-02-12 10:28:30	2018-02-12 09:28:30		Pierre Gaillard C“tes-du-Rh“ne Blanc Les Gendrines 2018	Vin frais, floral et fruit‚, min‚ral, ample et rond en bouche. Un trŠs joli viognier.	publish	closed	closed		pierre-gaillard-gendrines-2018	2020-08-27 09:30:07	2020-08-27 07:30:07		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4047	0	product		0
16044	0	0	0	0	7	taxable		2	2018-02-12 10:34:08	2018-02-12 09:34:08		Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018	D'une belle intensit‚, Clos de Cuminaille a de la profondeur et des tanins soyeux mais aussi beaucoup de fruit. Un r‚gal!	publish	closed	closed		pierre-gaillard-saint-joseph-cuminaille-2018	2020-08-14 17:45:03	2020-08-14 15:45:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4048	0	product		0
16043	0	0	0	0	1	taxable		2	2018-02-12 10:41:11	2018-02-12 09:41:11		Pierre Gaillard Saint-Joseph Rouge 2018	Un Saint-Joseph plein de fruits et de gourmandise. Rond et ‚quilibr‚, il saura ravir toutes les papilles.	publish	closed	closed		pierre-gaillard-saint-joseph-2018	2020-08-26 14:05:02	2020-08-26 12:05:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4049	0	product		0
16449	0	0	0	0	6	taxable		2	2018-02-12 10:50:59	2018-02-12 09:50:59		Pierre Gaillard Saint-Joseph Blanc 2019	Ce Saint-Joseph blanc est frais, complexe et trŠs aromatiques. Il b‚n‚ficie d'une belle min‚ralit‚ et d'une structure en bouche enrichissante.	publish	closed	closed		pierre-gaillard-saint-joseph-blanc-2019	2020-08-24 09:30:15	2020-08-24 07:30:15		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4050	0	product		0
16045	0	0	0	0	6	taxable		2	2018-02-12 10:58:41	2018-02-12 09:58:41		Jeanne Gaillard IGP Collines Rhodaniennes Syrah Terre de Mandrin 2018	Terre de Mandrin est vinifi‚ par la fille de Pierre Gaillard, Jeanne. Ce vin est repr‚sentatif de sa parcelle: frais et a‚r‚, et donc trŠs digeste!	publish	closed	closed		pierre-gaillard-syrah-terre-mandrin-2018	2020-08-27 17:15:02	2020-08-27 15:15:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4051	0	product		0
16030	0	0	0	0	6	taxable		2	2018-02-12 11:06:11	2018-02-12 10:06:11		Clos du Mont-Olivet Chƒteauneuf-du-Pape Blanc 2019	Ce Chƒteauneuf-du-Pape blanc offre une robe pƒle mais un nez intense sur les herbes m‚ridionales. Sa bouche saline et vive se montre ‚pur‚e mais sans manquer de chair ni de maturit‚, livrant une sensation min‚rale sur la fin de bouche.	publish	closed	closed		mont-olivet-chateauneuf-pape-blanc-2019	2020-08-03 09:55:03	2020-08-03 07:55:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4052	0	product		0
13127	0	0	0	0	23	taxable		2	2018-02-12 11:18:33	2018-02-12 10:18:33		Clos du Mont-Olivet Chƒteauneuf-du-Pape 2012	Nez gracieux, trŠs ‚l‚gant avec une touche florale et un parfum de vendange entiŠre. Il ‚volue sur une note d'agrume. Bouche avec du relief et une belle ‚nergie. Il y a du muscle mais accompagn‚ par une sensation de fruit plein et dense.	publish	closed	closed		clos-du-mont-olivet-chateauneuf-du-pape-2012	2020-08-24 18:25:02	2020-08-24 16:25:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4053	0	product		0
19816	0	0	0	0	10	taxable		2	2018-02-12 11:25:39	2018-02-12 10:25:39		Clos du Mont-Olivet Chƒteauneuf-du-Pape Cuv‚e du Papet 2018	Fleuron du domaine, ‚labor‚ uniquement lors des grands mill‚simes … partir de trŠs vieilles vignes, la Cuv‚e de Papet 2018 … une bouche presque massive, au fruit pulpeux ‚toff‚ par des tanins solides. Une trŠs grande bouteille … laisser en cave.	publish	closed	closed		clos-du-mont-olivet-chateauneuf-du-pape-papet-2018	2020-06-09 15:41:44	2020-06-09 13:41:44		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4054	0	product		0
16029	0	0	0	0	10	taxable		2	2018-02-12 11:38:55	2018-02-12 10:38:55		Clos du Mont-Olivet C“tes-du-Rh“ne Vieilles Vignes 2018	Assemblage … forte majorit‚ de Grenache compl‚t‚ par du Carignanÿ et de la Syrah, il tire sa force des deux lieux-dits dont les raisins sont issus. Il doit beaucoup … la personnalit‚ du Carignan qui lui confŠre une trame tannique affirm‚e, temp‚r‚e par le gras, la gourmandise et les ‚pices douces du Grenache.	publish	closed	closed		clos-du-mont-olivet-cotes-du-rhone-vieilles-vignes-2018	2020-08-01 09:35:04	2020-08-01 07:35:04		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4056	0	product		0
16039	0	0	0	0	18	taxable		2	2018-02-12 11:56:27	2018-02-12 10:56:27		Mourgues du GrŠs CostiŠres de NŒmes Galets Dor‚s 2019	Galets Blancs d‚gage un parfum ‚poustouflant de chŠvrefeuille, de narcisse, de pˆche, de melon cantaloup et de poivre blanc. Suit une finale succulente, subtilement huileuse et v‚ritablement ‚clatante.	publish	closed	closed		mourgues-galets-dores-2019	2020-08-25 15:45:02	2020-08-25 13:45:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4057	0	product		0
16318	0	0	0	0	11	taxable		2	2018-02-12 12:07:23	2018-02-12 11:07:23		Mourgues du GrŠs CostiŠres de NŒmes Galets Rouges 2019	Au nez se d‚voilent des ar“mes ‚l‚gants de fruits noirs et de menthol. En bouche, le vin se r‚vŠle ample, suave et soyeux, structur‚ en finesse par des tanins velout‚s et stimul‚ par une pointe bien ajust‚e de vivacit‚.	publish	closed	closed		mourgues-du-gres-costieres-de-nimes-galets-rouges-2019	2020-08-25 15:45:02	2020-08-25 13:45:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4058	0	product		0
16275	0	0	0	0	7	taxable		2	2018-02-12 12:12:28	2018-02-12 11:12:28		Mourgues du GrŠs CostiŠres de NŒmes Galets Ros‚s 2019	Des senteurs de fruits rouges forment un pr‚ambule charmeur. En bouche, c'est toute une dynamique de fraŒcheur qui sillonne une matiŠre respectable et confŠre de la vitalit‚ … un go–t d‚lectable d'o— ‚merge une min‚ralit‚ du meilleur effet.	publish	closed	closed		mourgues-du-gres-costieres-de-nimes-galets-roses-2019	2020-08-27 09:30:16	2020-08-27 07:30:16		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4059	0	product		0
16498	0	0	0	0	9	taxable		2	2018-02-12 12:41:06	2018-02-12 11:41:06		Mourgues du GrŠs CostiŠres de NŒmes Terre d'Argence 2017	Sa robe violet/rubis est suivie de fruits noirs en abondance, chocolat, r‚glisse et d'ar“mes d'herbes poivr‚es. Ils se m‚langent dans une cuv‚e charnue, ‚quilibr‚e et d'une texture remarquable.	publish	closed	closed		mourgues-du-gres-costieres-de-nimes-argence-rouge-2017	2020-08-25 11:15:03	2020-08-25 09:15:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4060	0	product		0
16320	0	0	0	0	3	taxable		2	2018-02-12 12:49:29	2018-02-12 11:49:29		Mourgues du GrŠs IGP Pont du Gard Terre d'Argence 2018	Magnifique exemple d'assemblage r‚ussi, ou chaque ‚l‚ment construit un ensemble trŠs harmonieux. Complexe et raffin‚, le viognier donne ses notes florales, la roussanne ses ‚pices et herbes aromatiques, le grenache souplesse et richesse. Fin et tendu, c'estÿun r‚gal!	publish	closed	closed		mourgues-du-gres-costieres-de-nimes-terre-dargence-blanc-2018	2020-08-25 11:15:03	2020-08-25 09:15:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4062	0	product		0
16319	0	0	0	0	3	taxable		2	2018-02-12 12:56:54	2018-02-12 11:56:54		Mourgues du GrŠs CostiŠres de NŒmes Terre de Feu 2017	Belle g‚n‚rosit‚ de fruits avec des tanins soyeux, ‚l‚gants et serr‚s. Jolies notes menthol‚es et chocolat‚es.	publish	closed	closed		mourgues-du-gres-terres-feu-2017	2020-08-21 11:25:03	2020-08-21 09:25:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4063	0	product		0
15966	0	0	0	0	3	taxable		2	2018-02-12 13:08:24	2018-02-12 12:08:24		Oratoire Saint Martin Cairanne Rouge R‚serve des Seigneurs 2017	R‚serve des Seigneurs affiche un nez somptueux, entre notes sanguines et de fruits l‚gŠrement mac‚r‚s, voire une touche de cigare Toscano. La bouche est dans le mˆme registre, intense, ‚quilibr‚e, m–re et soyeuse, chaleureuse et sereine, et exprime … merveille la finesse de ce terroir.	publish	closed	closed		oratoire-reserve-seigneurs-rouge-2017	2020-08-25 10:25:02	2020-08-25 08:25:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4064	0	product		0
15022	0	0	0	0	0	taxable		2	2018-02-12 13:14:22	2018-02-12 12:14:22		Oratoire Saint Martin Cairanne Rouge Les Douyes 2016	Le rustique noble incarn‚. Beau grain, beaucoup de fruit et de fond, solidement ancr‚, solaire et rafraŒchissant. Un vin complet et complexe, qui se gardera … merveille.	publish	closed	closed		oratoire-saint-martin-cairanne-douyes-2016	2020-08-27 18:45:02	2020-08-27 16:45:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4065	0	product		0
15967	0	0	0	0	20	taxable		2	2018-02-12 13:17:53	2018-02-12 12:17:53		Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016	Il s'impose par une matiŠre pulpeuse, soyeuse, offre le doux parfum d'un fruit longuement m–ri. Un vin caressant, aux tanins souples et m–rs, qu'il faudra a‚rer longuement avant d‚gustation.	publish	closed	closed		oratoire-saint-martin-cairanne-haut-coustias-2016	2020-08-14 18:35:02	2020-08-14 16:35:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4066	0	product		0
15490	0	0	0	0	19	taxable		2	2018-02-12 13:24:30	2018-02-12 12:24:30		Gilles Robin Crozes-Hermitage Rouge Alb‚ric 2017	Alb‚ric Bouvet est produit … partir des vieilles vignes du domaine. Sa robe est d'un rubis franc. Le nez est une explosion de fruits noirsÿ puis de fruits rouges. L'attaque de bouche est r‚gliss‚e. La finale est domin‚e par un l‚ger bois‚ et des notes de pain grill‚.	publish	closed	closed		gilles-robin-alberic-2017	2020-08-25 18:25:02	2020-08-25 16:25:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4067	0	product		0
16416	0	0	0	0	62	taxable		2	2018-02-12 13:42:28	2018-02-12 12:42:28		Gilles Robin Crozes-Hermitage Rouge Papillon 2019	Avec ses ar“mes de cassis, de myrtille, de cerise noire, de prune, puis de poivre et de violette, ce Crozes-Hermitage nous s‚duit agr‚ablement.ÿ La bouche est dans la continuit‚ avec une belle finesse de tannins, de la rondeur et un fruit‚ charmeur. Souple, rond et d‚licatement ‚pic‚e, cette cuv‚e Papillon sera id‚ale avec un plateau de charcuterie ou sur une volaille fermiŠre.	publish	closed	closed		gilles-robin-crozes-hermitage-papillon-2019	2020-08-27 16:05:04	2020-08-27 14:05:04		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4068	0	product		0
11862	0	0	0	0	0	taxable		2	2018-02-12 13:46:23	2018-02-12 12:46:23		Gilles Robin Hermitage Rouge 2012	Une robe rubis intense avec une trŠs belle brillance, un nezÿsomptueux, complexe et riche, une bouche envelopp‚ dans une trŠs belle rondeur, une finale trŠs longue et ‚quilibr‚e. C'est un vin magistral tout en finesse avec une trŠs belle puissance.	publish	closed	closed		gilles-robin-hermitage-2012	2019-01-31 12:12:56	2019-01-31 11:12:56		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4069	0	product		0
15444	0	0	0	0	7	taxable		2	2018-02-12 14:02:17	2018-02-12 13:02:17		Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018	"""Les Marelles"" offre des notes de fruits blancs m–rs, de cannelle et de fleurs blanches assorties de touches ‚pic‚es. Une complexit‚ que l'on retrouve dans une bouche ample et opulente, rehauss‚e par une belle vivacit‚. L'‚quilibre est l…, juste et pr‚cis."	publish	closed	closed		gilles-robin-crozes-hermitage-marelles-2018	2020-08-27 09:30:09	2020-08-27 07:30:09		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4070	0	product		0
15953	0	0	0	0	19	taxable		2	2018-02-12 14:08:13	2018-02-12 13:08:13		Chƒteau de Vaudieu Chƒteauneuf-du-Pape Rouge 2015	El‚gance, suavit‚, et gourmandise. D‚j… d‚licieux sur le fruit, c'est entre 5 et 15 ans qu'il faut en attendre le meilleur.	publish	closed	closed		vaudieu-chateauneuf-2015	2020-08-27 16:05:03	2020-08-27 14:05:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4071	0	product		0
12045	0	0	0	0	1	taxable		2	2018-02-12 14:17:41	2018-02-12 13:17:41		Chƒteau de Vaudieu Chƒteauneuf-du-Pape Blanc 2015	Plein et enrob‚ sur la jeunesse, il atteint sa pl‚nitude aprŠs 5 ans, et peut, du fait de son acidit‚ remarquable, vieillir plus de 10 ans.	publish	closed	closed		chateau-de-vaudieu-chateauneuf-du-pape-blanc-2015	2020-08-26 09:30:03	2020-08-26 07:30:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4072	0	product		0
13074	0	0	0	0	0	taxable		2	2018-02-12 14:25:28	2018-02-12 13:25:28		Chƒteau de Vaudieu Chƒteauneuf-du-Pape L'Avenue 2015	"""L'Avenue"" est issue d'une parcelle de vieux grenaches sur grŠs au sommet d'une des collines de Chƒteauneuf-du-Pape. Le nez d‚voile des notes de coulis de framboise et de th‚ noir, la bouche est sur la fraŒcheur et la finesse caract‚ristique des vieux grenaches sur sol … texture sableuse."	publish	closed	closed		chateau-de-vaudieu-chateauneuf-du-pape-lavenue-2015	2019-12-09 10:40:03	2019-12-09 09:40:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4073	0	product		0
15941	0	0	0	0	4	taxable		2	2018-02-12 14:26:52	2018-02-12 13:26:52		Domaine de la J‚r“me C“tes du Rh“ne Village 201	Un vin opulent, … la texture onctueuse, et tourn‚ vers le fruit. Ici, pas de fioriture, juste un grand plaisir … ouvrir entre amis!	publish	closed	closed		jerome-cotes-du-rhone-2018	2020-06-25 14:00:03	2020-06-25 12:00:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4074	0	product		0
16069	0	0	0	0	0	taxable		2	2018-02-12 14:34:12	2018-02-12 13:34:12		Plateau des Chˆnes Lirac 2015	Dot‚ d'une robe pourpre intense, ce vin d‚veloppe de puissants ar“mes de fruits noirs et une l‚gŠre pointe de fum‚ et d'‚pices.	publish	closed	closed		plateau-chenes-lirac-2015	2020-08-24 11:45:03	2020-08-24 09:45:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4075	0	product		0
13072	0	0	0	0	4	taxable		2	2018-02-12 14:38:37	2018-02-12 13:38:37		Plateau des Chˆnes Lirac 2016	Nez s'ouvrant … l'a‚ration sur des notes d'agrumes, de fruits blancs. Bonne tenue en bouche, de l'ampleur, de la rondeur, de la fraŒcheur. On retrouve en finale le registre ‚pic‚. Une r‚ussite.	publish	closed	closed		plateau-des-chenes-lirac-blanc-2016	2020-06-24 17:15:01	2020-06-24 15:15:01		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4076	0	product		0
15440	0	0	0	0	0	taxable		2	2018-02-12 14:46:08	2018-02-12 13:46:08		Domaine des Bosquets Gigondas 2016	Charismatique et envo–tant, min‚ral, garrigues et ‚pices, ce Gigondas est d'une grande puret‚. Son fruit et sa fraŒcheur d'altitude le rendent approchable sur la jeunesse. Sa structure tannique se fait plus accueillante au fur et … mesure du vieillissement, pendant 10 … 15 ans.	publish	closed	closed		bosquets-gigondas-2016	2020-08-22 17:55:02	2020-08-22 15:55:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4077	0	product		0
13435	0	0	0	0	10	taxable		2	2018-02-12 14:52:10	2018-02-12 13:52:10		Domaine des Bosquets Gigondas La Colline 2015	"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Gagn‚e dans la roche, cette parcelle surplombe le domaine, et se dresse avec aplomb … la pointe des dentelles de Montmirail. Peupl‚ de vieilles vignes, ce parcellaire d‚voile un Grenache tout en muscle, en relief, en intensit‚, grƒce … ce merveilleux terroir d'altitude.

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>"	publish	closed	closed		domaine-des-bosquets-gigondas-colline-2015	2020-07-11 15:05:02	2020-07-11 13:05:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4078	0	product		0
13078	0	0	0	0	0	taxable		2	2018-02-12 14:55:54	2018-02-12 13:55:54		Le Vieux Donjon Chƒteauneuf-du-Pape 2013	"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Comme toujours, magistralement ‚l‚gant, le nez prend des notes de fruits rouges fraŒchement ramass‚s. Le raffinement reste la marque de fabrique de de domaine. Naturel en bouche, il s'impose par sa d‚licatesse et une ‚nergie magnifique. Superbe!

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>"	publish	closed	closed		vieux-donjon-chateauneuf-2013	2019-02-20 09:30:16	2019-02-20 08:30:16		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4079	0	product		0
13117	0	0	0	0	4	taxable		2	2018-02-12 15:05:35	2018-02-12 14:05:35		Le Vieux Donjon Chƒteauneuf-du-Pape 2016	"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Le Vieux Donjon blanc se distingue par uneÿrobe jaune pƒle, l‚gŠrement brillante. Son nez trŠs aromatique s'ouvre sur un bouquet de fleurs d'acacia et de pamplemousse. Vive et parfum‚e, la bouche pr‚sente des notes d'agrumes et de<strong>ÿ</strong>fruits exotiques.

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>"	publish	closed	closed		le-vieux-donjon-chateauneuf-du-pape-blanc-2016	2018-11-29 18:10:02	2018-11-29 17:10:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4081	0	product		0
16296	0	0	0	0	0	taxable		2	2018-02-12 15:13:25	2018-02-12 14:13:25		"Rimauresq C“tes de Provence Blanc Cru Class‚ ""R"" 2019"	"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

D'uneÿgrande complexit‚ aromatique, gras et trŠs long en bouche, ce vin est gourmand et son nez r‚vŠle des notes de fruits confits. En bouche, on est enchant‚ par un beau bouquet de saveurs complexe et gras.

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>"	publish	closed	closed		rimauresq-provence-r-blanc-2019	2020-05-30 10:46:29	2020-05-30 08:46:29		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4083	0	product		0
16014	0	0	0	0	0	taxable		2	2018-02-12 15:21:03	2018-02-12 14:21:03		"Rimauresq C“tes de Provence Rouge Cru Class‚ ""R"" 2017"	"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Le R rouge est complexe et mŠle les fruits noirs confits aux ‚pices douces, on note ‚galement des effluves de vanille, de sous-bois et de r‚glisse.ÿEn bouche, le palais est dense et ‚l‚gant avec des tanins soyeux et une belle richesse aromatique.

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>"	publish	closed	closed		rimauresq-cotes-de-provence-cru-classe-r-2017	2020-08-22 10:05:02	2020-08-22 08:05:02		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4084	0	product		0
16462	0	0	0	0	7	taxable		2	2018-02-12 15:28:10	2018-02-12 14:28:10		Rimauresq C“tes de Provence Rouge Cru Class‚ 2017	"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Son nez complexe r‚vŠle des notes de garrigue, de fruits noirs et de r‚glisse. En bouche, il est dense avec des tanins riches et renferme des ar“mes de fruits ‚pic‚s. Il peut ˆtre d‚gust‚ jeune ou ˆtre conserv‚ encore quelques petites ann‚es.

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>"	publish	closed	closed		rimauresq-cotes-de-provence-cru-classe-2017	2020-08-26 17:15:03	2020-08-26 15:15:03		0	https://www.wine-spirit.fr/?post_type=product&#038;p=4085	0	product		0
